City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Hornepayne,CA,9/21/2021 23:25,49.2138,-84.7705,43.56,86,100,6.51
223,Prince Rupert,CA,9/21/2021 23:25,54.3161,-130.3201,59.09,86,90,5.75
224,Castro,BR,9/21/2021 23:17,-24.7911,-50.0119,64.54,92,87,9.51
225,Chara,RU,9/21/2021 23:25,56.9064,118.2631,53.17,81,95,2.55
226,Alihe,CN,9/21/2021 23:25,50.5667,123.7167,49.37,88,100,3.44
227,Manta,EC,9/21/2021 23:25,-0.95,-80.7333,74.98,78,75,14.97
228,Bayji,IQ,9/21/2021 23:25,34.9311,43.487,80.4,20,0,8.93
229,Abay,KZ,9/21/2021 23:25,49.6311,72.8539,33.46,73,5,5.12
230,Tuktoyaktuk,CA,9/21/2021 23:22,69.4541,-133.0374,37.4,70,90,14.97
231,Skibbereen,IE,9/21/2021 23:25,51.55,-9.2667,58.8,87,84,7.94
232,Lucapa,AO,9/21/2021 23:25,-8.4192,20.7447,70.79,29,4,1.23
233,Mar Del Plata,AR,9/21/2021 23:22,-38.0023,-57.5575,47.37,73,0,7.76
234,Mount Gambier,AU,9/21/2021 23:25,-37.8333,140.7667,53.51,94,90,9.22
235,Verkhoyansk,RU,9/21/2021 23:20,67.5447,133.385,38.39,70,100,2.26
236,Chapais,CA,9/21/2021 23:22,49.7834,-74.8492,65.98,76,88,17.94
237,Hamilton,US,9/21/2021 23:20,39.1834,-84.5333,73.98,91,90,0
238,Ingham,US,9/21/2021 23:25,42.6,-84.3833,67.75,93,90,8.05
239,Negara,ID,9/21/2021 23:25,-8.3151,114.6025,75.25,87,98,1.05
240,Taybad,IR,9/21/2021 23:25,34.74,60.7756,66.51,31,0,10.67
241,Arlit,NE,9/21/2021 23:24,18.7369,7.3853,92.79,12,2,7.67
242,Port Hedland,AU,9/21/2021 23:25,-20.3167,118.5667,80.65,7,40,18.41
243,Tuatapere,NZ,9/21/2021 23:17,-46.1333,167.6833,51.82,59,13,3.56
244,San Ramon,US,9/21/2021 23:25,37.7799,-121.978,99.45,24,1,1.99
245,Tupiza,BO,9/21/2021 23:25,-21.45,-65.7167,59.22,57,60,14.65
246,Poum,NC,9/21/2021 23:21,-20.2333,164.0167,75.29,70,100,10.22
247,Moose Factory,CA,9/21/2021 23:25,51.2585,-80.6094,46.4,100,90,8.05
248,Cidreira,BR,9/21/2021 23:21,-30.1811,-50.2056,57.96,66,83,13
249,Sept-Iles,CA,9/21/2021 23:25,50.2001,-66.3821,55.92,90,75,1.01
