City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Hofn,IS,64.2539,-15.2082,40.39,88,100,17.9,overcast clouds
205,Puerto Escondido,MX,15.85,-97.0667,90.43,51,40,6.91,scattered clouds
206,Edd,ER,13.9297,41.6925,89.08,71,6,4.74,clear sky
207,Byron Bay,AU,-28.65,153.6167,64.35,74,6,8.16,clear sky
208,Trat,TH,12.5,102.5,75.47,95,100,2.57,light rain
209,Maceio,BR,-9.6658,-35.7353,81.84,83,75,10.36,broken clouds
210,Narsaq,GL,60.9167,-46.05,43.02,57,0,8.59,clear sky
211,East London,ZA,-33.0153,27.9116,67.5,52,74,22.41,broken clouds
212,Kalabo,ZM,-14.97,22.6814,71.94,21,12,7.27,few clouds
213,Galveston,US,29.3669,-94.9669,85.21,47,1,9.22,clear sky
214,Walvis Bay,NA,-22.9575,14.5053,57.09,87,0,6.91,clear sky
215,Phalodi,IN,27.1333,72.3667,85.37,66,85,5.66,overcast clouds
216,San Cristobal,VE,7.7669,-72.225,78.98,82,100,5.86,overcast clouds
217,Odweyne,SO,9.4092,45.064,75.47,56,4,13.47,clear sky
218,Balabac,PH,7.9868,117.0645,80.44,76,99,2.75,overcast clouds
219,Codrington,AU,-38.2667,141.9667,50.7,86,98,18.63,overcast clouds
220,Batemans Bay,AU,-35.7167,150.1833,59.92,68,14,4.59,few clouds
221,George Town,MY,5.4112,100.3354,80.89,89,20,2.3,few clouds
222,Tautira,PF,-17.7333,-149.15,84.22,75,0,15.59,light rain
223,Grindavik,IS,63.8424,-22.4338,41.47,93,75,20.71,broken clouds
224,Uberaba,BR,-19.7483,-47.9319,90.18,20,33,8.05,scattered clouds
225,Sao Filipe,CV,14.8961,-24.4956,79.03,78,35,8.66,scattered clouds
226,Mitu,CO,1.1983,-70.1733,79.88,73,98,3.13,overcast clouds
227,Ostrovnoy,RU,68.0531,39.5131,46.11,87,40,19.66,scattered clouds
